district,year,state,effective_number_of_political_parties
uttar dinajpur,2011,west bengal,2.738065258947316
dakshin dinajpur,2011,west bengal,2.3685756756046543
maldah,2011,west bengal,2.6035222786072176
north twenty four parganas,2011,west bengal,2.1989586232014844
shimoga,2013,karnataka,3.341051298276245
howrah,2011,west bengal,2.299189048760161
hooghly,2011,west bengal,2.1607572447377525
paschim medinipur,2011,west bengal,2.3123109409630067
birbhum,2011,west bengal,2.446854024089335
sahebganj,2014,jharkhand,3.2495927865086123
pakaur,2014,jharkhand,3.737690105081023
dumka,2014,jharkhand,3.624131777689479
jamtara,2014,jharkhand,3.8819784185772535
deoghar,2014,jharkhand,3.92093497817293
godda,2014,jharkhand,3.6814590399431046
kodarma,2014,jharkhand,3.1321559976558944
hazaribagh,2014,jharkhand,4.480701331518462
chatra,2014,jharkhand,3.9739732500328424
giridih,2014,jharkhand,4.245778659181911
bokaro,2014,jharkhand,3.11445793603234
east singhbhum,2014,jharkhand,3.2903971066252176
saraikela kharsawan,2011,jharkhand,2.860674643871237
west singhbhum,2014,jharkhand,3.3693319478167965
ranchi,2014,jharkhand,3.509020377773681
khunti,2014,jharkhand,4.307615573682538
gumla,2014,jharkhand,3.926438985451488
simdega,2014,jharkhand,4.061546288998833
lohardaga,2014,jharkhand,3.2403837884635998
latehar,2014,jharkhand,4.535066355309359
palamau,2014,jharkhand,5.482829860124425
garhwa,2014,jharkhand,4.323730351081295
bargarh,2014,orissa,3.4212778650460542
jharsuguda,2014,orissa,3.1388182572786794
sundargarh,2014,orissa,3.8328216662330563
sambalpur,2014,orissa,3.190779945008792
deogarh,2014,orissa,2.5483925733520407
keonjhar,2014,orissa,3.3422623746232314
mayurbhanj,2014,orissa,4.446644880734592
bhadrak,2014,orissa,2.765065292201916
dhenkanal,2014,orissa,3.0668438750543725
angul,2014,orissa,3.0998919653614356
balangir,2014,orissa,3.461736296455282
nuapada,2014,orissa,3.4292016499160614
nabarangpur,2014,orissa,2.996437670696946
kalahandi,2014,orissa,3.900022062451206
kandhamal,2014,orissa,3.275637020047373
boudh,2014,orissa,3.0994800175095243
cuttack,2014,orissa,2.467562141310912
kendrapara,2014,orissa,2.4038506549158636
jagatsinghpur,2014,orissa,2.8437313331300835
puri,2014,orissa,2.677644865189162
khurda,2014,orissa,2.5462110900099435
nayagarh,2014,orissa,2.453901412292427
gajapati,2014,orissa,3.189392949822502
rayagada,2014,orissa,3.258809227091243
koraput,2014,orissa,3.330989957601447
malkangiri,2014,orissa,3.910473571809324
jashpur,2013,chhattisgarh,2.632782181866657
raigarh,2013,chhattisgarh,2.4669162074166993
mungeli,2013,chhattisgarh,3.1588805003369433
janjgir champa,2013,chhattisgarh,3.3379152977209268
chandrapur,2014,maharashtra,3.713066496147188
mahasamund,2013,chhattisgarh,2.9314729612334443
balodabazar,2013,chhattisgarh,3.0299393845958287
raipur,2013,chhattisgarh,2.4466829109266306
gariaband,2013,chhattisgarh,2.488179986260894
dhamtari,2013,chhattisgarh,2.8943927060424186
balod,2013,chhattisgarh,3.1026092050487613
satara,2014,maharashtra,3.177574405067276
durg,2013,chhattisgarh,2.6852954061335
bemetara,2013,chhattisgarh,3.164387828194036
kabirdham,2013,chhattisgarh,3.0051584673412286
rajnandgaon,2013,chhattisgarh,2.7648753101467203
uttar bastar kanker,2013,chhattisgarh,2.8912906080796397
kondagaon,2013,chhattisgarh,3.0750842017306987
bastar jagdalpur,2013,chhattisgarh,2.86636130203749
dakshin bastar dantewada,2013,chhattisgarh,3.602270698539365
bijapur,2013,karnataka,3.8580478289854705
sukuma,2013,chhattisgarh,3.4771314972549088
sheopur,2013,madhya pradesh,2.907230224612208
morena,2013,madhya pradesh,3.3949841020821707
bhind,2013,madhya pradesh,4.137384648991874
gwalior,2013,madhya pradesh,3.22816683845311
datia,2013,madhya pradesh,4.197741304493314
shivpuri,2013,madhya pradesh,3.0063374201029394
guna,2013,madhya pradesh,2.2200850460942774
ashok nagar,2013,madhya pradesh,2.464721304597091
tikamgarh,2013,madhya pradesh,3.25218833799305
damoh,2013,madhya pradesh,2.804334381232645
panna,2013,madhya pradesh,3.681186669710673
rewa,2013,madhya pradesh,4.1945729048155975
sidhi,2013,madhya pradesh,3.0355739088717595
shahdol,2013,madhya pradesh,3.232736810142132
anuppur,2013,madhya pradesh,3.1112973872995773
umaria,2013,madhya pradesh,3.415613856941852
katni,2013,madhya pradesh,3.1106764752697575
jabalpur,2013,madhya pradesh,2.3709840415329304
nashik,2014,maharashtra,3.554481789939288
mandla,2013,madhya pradesh,3.2129253336682146
balaghat,2013,madhya pradesh,3.0605172583594644
seoni,2013,madhya pradesh,3.1556098020623145
narsinghpur,2013,madhya pradesh,2.54699414999268
chhindwara,2013,madhya pradesh,2.8093071982255657
betul,2013,madhya pradesh,2.431594770936888
harda,2013,madhya pradesh,2.3476447717146547
hoshangabad,2013,madhya pradesh,2.2855353375563054
vidisha,2013,madhya pradesh,2.3905068556058655
bhopal,2013,madhya pradesh,2.1350757021294227
sehore,2013,madhya pradesh,2.319493973723727
rajgarh,2013,madhya pradesh,2.1710817055766056
shajapur,2013,madhya pradesh,2.523388697526795
dewas,2013,madhya pradesh,2.1525038898595366
khandwa,2013,madhya pradesh,2.3021695857626456
burhanpur,2013,madhya pradesh,2.3003196914157518
khargone,2013,madhya pradesh,2.41269402184922
barwani,2013,madhya pradesh,2.3683576510560695
alirajpur,2013,madhya pradesh,3.059324950117634
jhabua,2013,madhya pradesh,3.128941397745505
dhar,2013,madhya pradesh,2.4508104295519035
indore,2013,madhya pradesh,2.1468370441041764
ujjain,2013,madhya pradesh,2.3291561761861557
ratlam,2013,madhya pradesh,2.5557975756588553
mandsaur,2013,madhya pradesh,2.3955511134487946
neemuch,2013,madhya pradesh,2.945567239705508
kachchh,2012,gujarat,2.631791947923943
banaskantha,2012,gujarat,2.662130526559071
patan,2012,gujarat,2.34522661519711
mahesana,2012,gujarat,2.323314407058967
sabarkantha,2012,gujarat,2.3714346021154773
arvalli,2012,gujarat,2.4848325881923086
panchmahal,2012,gujarat,2.3236381385260776
ahmedabad,2012,gujarat,2.126340296515463
surendranagar,2012,gujarat,2.4344411996706983
morbi,2012,gujarat,2.9054909671089724
rajkot,2012,gujarat,2.5336784630111375
chhota udepur,2012,gujarat,2.116134906222445
jamnagar,2012,gujarat,2.6051331192990883
porbandar,2012,gujarat,1.6591205584339155
junagadh,2012,gujarat,2.6909594925351157
amreli,2012,gujarat,3.472630524749108
bhavnagar,2012,gujarat,2.606689491322059
botad,2012,gujarat,2.6347310165507793
anand,2012,gujarat,2.285329429610211
kheda,2012,gujarat,2.4832805660523607
mahisagar,2012,gujarat,2.5341811156061107
dahod,2012,gujarat,2.3351797352655623
vadodra,2012,gujarat,2.249126476779475
narmada,2012,gujarat,2.9563309548856833
bharuch,2012,gujarat,2.4591807343084495
tapi,2012,gujarat,2.513075908509145
dangs,2012,gujarat,2.544181039445009
navsari,2012,gujarat,2.229107315001921
nandurbar,2014,maharashtra,3.2259464111909697
dhule,2014,maharashtra,3.0752310068021513
jalgaon,2014,maharashtra,3.265458970863314
buldhana,2014,maharashtra,3.841736680980364
akola,2014,maharashtra,4.332152622297427
washim,2014,maharashtra,4.315591662325613
amravati,2014,maharashtra,4.137150727671087
nagpur,2014,maharashtra,3.015595902082037
bhandara,2014,maharashtra,4.374382006434309
gondiya,2014,maharashtra,4.427198566622643
gadchiroli,2014,maharashtra,4.231305239544816
yavatmal,2014,maharashtra,3.11770050036449
nanded,2014,maharashtra,3.6922779812726523
hingoli,2014,maharashtra,3.6516705856271456
parbhani,2014,maharashtra,4.435616616203612
jalna,2014,maharashtra,4.193793552163465
thane,2014,maharashtra,3.8915490673138167
yadgir,2013,karnataka,3.584335361722687
mumbai suburban,2014,maharashtra,3.6859065109069364
mumbai city,2014,maharashtra,3.7860860999364663
raigad,2014,maharashtra,3.479358975937846
pune,2014,maharashtra,3.346131684291327
ahmednagar,2014,maharashtra,2.9947068280699667
beed,2014,maharashtra,2.572877359769972
latur,2014,maharashtra,3.2857593840345363
osmanabad,2014,maharashtra,3.6914148231708883
solapur,2014,maharashtra,3.4229542631071097
ratnagiri,2014,maharashtra,3.063197266068125
district sindhudurg,2014,maharashtra,2.8131309528191912
kolhapur,2014,maharashtra,2.9192885215521027
adilabad,2014,telangana,2.03324481247051
karimanagar,2014,telangana,1.5885222693332681
medak,2014,telangana,1.3750392134539022
rangareddi,2014,telangana,1.816509215686325
hyderabad,2014,telangana,1.563335600929374
mahabubnagar,2012,telangana,1.6870605705340556
nalgonda,2014,telangana,1.7803962342692108
warangal,2014,telangana,1.4692566921606913
khammam,2014,telangana,1.9715189827664006
srikakulam,2014,andhra pradesh,2.3687565922065517
vizianagaram,2014,andhra pradesh,2.7413666444744043
vishakapatnam,2014,andhra pradesh,2.5259261607754464
east godavari,2014,andhra pradesh,2.3425371452947066
guntur,2012,andhra pradesh,2.317443174618181
krishna,2014,andhra pradesh,2.134433937036748
west godavari,2014,andhra pradesh,2.3092773837654406
prakasam,2014,andhra pradesh,2.291204181885543
nellore,2012,andhra pradesh,2.469237652253569
kadapa,2014,andhra pradesh,2.2772985452172465
kurnool,2014,andhra pradesh,2.616839558699742
anantapur,2014,andhra pradesh,2.3314810752531043
chittoor,2014,andhra pradesh,2.3236513811803374
belgaum,2013,karnataka,3.1145291066487273
bagalkot,2013,karnataka,2.7450854654760626
gulbarga,2013,karnataka,3.4495125131153532
bidar,2013,karnataka,3.6161880823798485
raichur,2013,karnataka,3.5544143242217237
koppal,2011,karnataka,3.5523839486242808
gadag,2013,karnataka,2.870247373165385
dharwad,2013,karnataka,3.4496241798649443
uttara kannada,2013,karnataka,3.442937953490103
haveri,2013,karnataka,3.000320503956043
bellary,2013,karnataka,2.8715245805255147
chitradurga,2013,karnataka,3.0831137107634277
davanagere,2013,karnataka,3.328904474018919
udupi,2013,karnataka,2.2312231635679907
