district,state,year,vote_share
cuddalore,tamil nadu,2011,51.82444444444445
nagapattinam,tamil nadu,2011,48.555
tiruvarur,tamil nadu,2011,54.0525
thanjavur,tamil nadu,2011,48.01500000000001
pudukkottai,tamil nadu,2011,51.68
sivaganga,tamil nadu,2011,49.69
madurai,tamil nadu,2011,57.396
theni,tamil nadu,2011,51.72
virudhunagar,tamil nadu,2011,53.85
ramanathapuram,tamil nadu,2011,46.705000000000005
thoothukudi,tamil nadu,2011,53.919999999999995
tirunelveli,tamil nadu,2011,50.513
kanniyakumari,tamil nadu,2011,42.541666666666664
puducherry,pondicherry,2011,58.934583333333336
karaikal,pondicherry,2011,48.036
mahe,pondicherry,2011,60.51
yanam,pondicherry,2011,80.95
